name,artist,album,album_type,release_date,duration,duration_ms,added_at,added_by_id,track_popularity,track_id,track_uri,artist_uris,artist_names,enriched,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_genres,artists_popularities,artists_avg_popularity
Souvenir,MICH,Souvenir,single,2023-05-26,2:14,134641,2023-05-31T16:03:09Z,115458813,20,7pspgy2N9LdN9QuDVNd1Dk,spotify:track:7pspgy2N9LdN9QuDVNd1Dk,['spotify:artist:4HDfVcO8QmARunFcBJofWQ'],['MICH'],True,0.582,0.86,9.0,-8.751,1.0,0.0313,0.00655,0.764,0.178,0.974,152.003,4.0,[['dutch indie']],[24],24.0
AMERICA HAS A PROBLEM (feat. Kendrick Lamar),"Beyoncé, Kendrick Lamar",AMERICA HAS A PROBLEM (feat. Kendrick Lamar),single,2023-05-19,4:20,260962,2023-05-31T16:03:21Z,115458813,52,5xlLG6RthtyXShVhGA3ojN,spotify:track:5xlLG6RthtyXShVhGA3ojN,"['spotify:artist:6vWDO969PvNqNYHIOW5v0m', 'spotify:artist:2YZyLoL8N0Wb9xBt1NhZWg']","['Beyoncé', 'Kendrick Lamar']",True,0.788,0.694,1.0,-5.308,1.0,0.0372,0.011,1.48e-05,0.142,0.229,126.042,4.0,"[['pop', 'r&b'], ['conscious hip hop', 'hip hop', 'rap', 'west coast rap']]","[84, 87]",85.5
Line of Fire (feat. Sharon Van Etten),"Junip, Sharon Van Etten, José González, Tobias Winterkorn, Elias Araya",Line of Fire (feat. Sharon Van Etten),single,2023-05-26,5:38,338733,2023-06-01T13:01:18Z,svdpal,34,4nqti80wYRASe6E51D7TSD,spotify:track:4nqti80wYRASe6E51D7TSD,"['spotify:artist:7HcipAIJatVGT4U6HQrnFW', 'spotify:artist:2wJ4vsxWd7df7dRU4KcoDe', 'spotify:artist:6xrCU6zdcSTsG2hLrojpmI', 'spotify:artist:1Gok9BYzGUUKO0fD5nL1Ze', 'spotify:artist:14nHNjH8ioxKccZ2u6AA1z']","['Junip', 'Sharon Van Etten', 'José González', 'Tobias Winterkorn', 'Elias Araya']",True,0.506,0.677,7.0,-9.513,1.0,0.0421,0.614,0.0699,0.112,0.283,90.317,4.0,"[['chamber pop', 'swedish indie rock'], ['art pop', 'chamber pop', 'indie rock', 'melancholia', 'new jersey indie', 'singer-songwriter'], ['chamber pop', 'gothenburg indie', 'indie folk', 'stomp and holler', 'swedish indie folk', 'swedish indie pop', 'swedish singer-songwriter'], [], []]","[46, 54, 63, 18, 18]",39.8
Late To You,Keaton Henson,Late To You,single,2023-05-24,5:17,317306,2023-06-01T13:08:20Z,svdpal,20,09eg0jkbefhREXXOGxLOoD,spotify:track:09eg0jkbefhREXXOGxLOoD,['spotify:artist:6GFfu1alUSrL7qazImC160'],['Keaton Henson'],True,0.208,0.081,3.0,-17.449,1.0,0.0362,0.876,0.000632,0.11,0.0949,85.709,4.0,"[['ambient folk', 'british singer-songwriter', 'indie folk']]",[46],46.0
Nothing Matters,The Last Dinner Party,Nothing Matters,single,2023-04-19,3:01,181750,2023-06-05T11:49:30Z,115458813,69,3p84R45PM75ngq8XRoe45o,spotify:track:3p84R45PM75ngq8XRoe45o,['spotify:artist:5SHgclK1ZpTdfdAmXW7J6s'],['The Last Dinner Party'],True,0.587,0.798,2.0,-5.109,1.0,0.037,0.0329,0.000134,0.184,0.6,101.161,4.0,[[]],[54],54.0
Te Laat,Elias Mazian,Alleen Bij Mij,album,2023-06-02,4:59,299426,2023-06-05T06:44:28Z,115458813,0,7fimpnjdT2qMtKH31YRtuw,spotify:track:7fimpnjdT2qMtKH31YRtuw,['spotify:artist:5bcee1i2yLpnhwm5Nbz3vU'],['Elias Mazian'],True,0.638,0.604,0.0,-12.518,0.0,0.0381,0.44,0.674,0.0904,0.944,75.011,4.0,[['lo-fi house']],[29],29.0
Alleen Bij Mij,Elias Mazian,Alleen Bij Mij,album,2023-06-02,3:09,189226,2023-06-05T07:22:17Z,115458813,0,4fmXF8FdCyAbqW9tkByAMo,spotify:track:4fmXF8FdCyAbqW9tkByAMo,['spotify:artist:5bcee1i2yLpnhwm5Nbz3vU'],['Elias Mazian'],True,0.724,0.355,4.0,-13.28,1.0,0.0359,0.669,0.135,0.0994,0.624,93.996,4.0,[['lo-fi house']],[29],29.0
Nothing At All,Foo Fighters,But Here We Are,album,2023-06-02,3:27,207786,2023-06-05T16:04:25Z,hvdpal58,56,0csL34JYEsHmFBAZ1fgf8G,spotify:track:0csL34JYEsHmFBAZ1fgf8G,['spotify:artist:7jy3rLJdDQY21OgRLCZ9sD'],['Foo Fighters'],True,0.366,0.897,0.0,-4.604,1.0,0.053,5.41e-05,0.000291,0.145,0.827,132.123,4.0,"[['alternative metal', 'alternative rock', 'modern rock', 'permanent wave', 'post-grunge', 'rock']]",[77],77.0
De Duck,Prins S. en De Geit,De Duck,single,2023-05-26,2:45,165346,2023-06-06T08:45:40Z,hvdpal58,33,50q1ispDkcwqPP2aLJpyiL,spotify:track:50q1ispDkcwqPP2aLJpyiL,['spotify:artist:0jXZD0lM7Icyig6RrBGlUi'],['Prins S. en De Geit'],True,0.956,0.918,2.0,-3.594,1.0,0.264,0.0695,7.49e-06,0.296,0.843,130.021,4.0,[[]],[31],31.0
Is This Love?,"Pip Blom, Alex Kapranos",Is This Love?,single,2023-05-31,3:32,212053,2023-06-06T08:56:16Z,115458813,30,2qniUr523yjUKD8EJRe7LP,spotify:track:2qniUr523yjUKD8EJRe7LP,"['spotify:artist:6zWJfH1TTmIqEi7EV35HGr', 'spotify:artist:43tffeOxONSbTQ888To7bE']","['Pip Blom', 'Alex Kapranos']",True,0.683,0.669,5.0,-3.593,1.0,0.0405,0.22,0.00385,0.0568,0.596,105.979,4.0,"[['crank wave', 'dutch indie', 'dutch indie rock', 'english indie rock'], ['scottish indie rock']]","[39, 29]",34.0
If You Were Mine,"Miranda Lambert, Leon Bridges",If You Were Mine,single,2023-06-06,3:39,219882,2023-06-06T14:54:01Z,1110446304,51,1GL0nollq8IdnV4tfYtEZT,spotify:track:1GL0nollq8IdnV4tfYtEZT,"['spotify:artist:66lH4jAE7pqPlOlzUKbwA0', 'spotify:artist:3qnGvpP8Yth1AqSBMqON5x']","['Miranda Lambert', 'Leon Bridges']",True,0.454,0.509,11.0,-8.491,1.0,0.03,0.521,2.01e-06,0.112,0.447,73.892,4.0,"[['contemporary country', 'country', 'country dawn', 'country road'], ['modern blues', 'neo soul', 'soul']]","[66, 70]",68.0
